"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","1","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 7 + 90 = 98",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 60 + 82 = 143",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 22 + 19 = 42",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 18 + 8 = 27",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 80 + 87 = 168",""
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","5","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 26 + 63 = 89",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","8","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 9 + 97 = 107",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 43 + 19 = 63",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","6","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 43 + 58 = 102",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","20","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 61 + 27 = 89",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","2","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 99 + 57 = 157",""
"failed","Mon Jul 15 13:57:52 GMT 2024","Mon Jul 15 13:57:52 GMT 2024","3","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 10 + 42 = 53",""
"failed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","20","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 59 + 12 = 72",""
"passed","Mon Jul 15 13:57:51 GMT 2024","Mon Jul 15 13:57:51 GMT 2024","4","","com.example.project.CalculatorTests","","com.example.project.CalculatorTests","add","add(int, int, int) 66 + 49 = 115",""
